               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094435,            0.032596,            0.016043,             0.71544,             0.23383,             0.32125,             0.13239,            0.065582,            0.023264,           0.0033895,            0.070411,           0.0032877,           0.0032877
                   1,            0.063781,            0.028588,           0.0049422,              0.3831,             0.50663,             0.39095,             0.16768,            0.052625,            0.018452,           0.0022699,            0.038772,           0.0049823,           0.0049823
                   2,            0.057044,             0.02659,           0.0039367,             0.36466,             0.52433,             0.37915,             0.16861,            0.048503,            0.017568,           0.0015929,           0.0054836,           0.0050269,           0.0050269
                   3,            0.048509,            0.026591,           0.0030014,             0.45822,              0.6441,             0.54279,             0.28658,            0.040054,            0.017995,           0.0013032,            0.002575,            0.002575,            0.002575
